Name,Active,Kind,Damage_Parts,Normal_Attack,Normal_Bonus,Same_Turn,Defence,Needs_Review,Notes,Ability_Text
Arjac,Foehammer,damage,1,N,,N,stun:one,N,+Damage per defeated character not counted.,"Deals {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Power Damage to an enemy within range {[range]} and the target is Stunned until the beginning of Arjac's next turn. For each Character that has been defeated in this battle, this ability deals +{[extraDmg]} Damage."
Asmodai,Exemplar of Hate,support,,N,,N,,N,"Owner-confirmed: the extra attack only happens against Chaos targets, so not counted.","Targets an enemy on the battlefield. For this round and the next, all friendly units deal +{[extraDmg]} Damage against that enemy with melee or Overwatch attacks. If that enemy is Chaos, it gets Suppressed and Asmodai or another friendly Dark Angel immediately performs a normal attack against the target, dealing {[dmgPct]}% of its own damage, to a maximum of {[maxDmg]} Damage per hit."
Atlacoya,Talons Of The Emperor,damage,1,N,,N,,N,Counted as Power. Direct vs Psykers / next to Custodes and +Damage per active used not counted.,"Deals {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Power Damage to an adjacent enemy unit. This attack deals +{[extraDmg]} Damage for each time a friendly Character has used an active ability this battle. If the target is a Psyker or Atlacoya is adjacent to a friendly Adeptus Custodes, this attack deals Direct Damage instead."
Aun'Shi,Inspired to Greatness,heal,,N,,N,,N,,"Enables a friendly unit in an adjacent hex to use their active ability again in this battle and heals or repairs it for {[hpToHeal]} Health. For this second use, the ability is at the lowest of its own level and that of Inspired to Greatness. If that unit has not used their active ability yet, then {[hpToHeal_2]} Health is restored instead."
Azkor,Overwhelming Wrath,damage,1,N,,N,pct:dmgReductionPct:ranged,N,The damage lands at the start of his next turn; counted as his opening attack.,Until the beginning of his next turn Azkor Taunts all adjacent enemies and takes -{[dmgReductionPct]}% Damage from ranged attacks. Deals {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Eviscerating Damage to all adjacent enemies at the beginning of Azkor's next turn.
Azrael,Dark Talon Strike,damage,1;2,N,,N,suppress:one,N,Owner-confirmed: counts only the Direct hit on the target. The Bolter line starts beyond the target and does not hit it.,"Azrael calls in a Ravenwing Dark Talon to deal {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Direct Damage to a target enemy within {[range]} hexes and {[nrOfHits_2]}x {[minDmg_2]}-{[maxDmg_2]} Bolter Damage to all enemies in an uninterrupted straight line originating from the initial target. All enemies hit are Suppressed. This ability's Damage ignores all of the attacker bonuses and modifiers (including elevation), and cannot Crit."
Baldr,Rites of Morkai,damage,,Y,,N,heal:hp,N,Counts his normal melee attack. Defence: the revive counts as extra health.,"Baldr and all surrounding friendly non-mechanical units become Inspired for {[nrOfRounds]} round or until they are revived. The first time each inspired unit would be defeated, it is instead revived with a maximum of {[hp]} Health, unless Overkilled. Inspired units with Final Vengeance deal +{[extraDmg]} Damage with all attacks. After using this ability, Baldr immediately performs a normal melee attack against an adjacent enemy."
Baraqiel,Plasma Cannon,damage,1,N,,N,,N,Other targets not counted. Can be reused on cooldown; only the first use counted.,Deals {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Plasma Damage to an enemy within range {[range]} and up to two enemy units behind the target. This ability can be used multiple times per battle but has a cooldown of {[cooldownTurns]} round. Initial cooldown: {[initialCooldownTurns]} round.
Bellator,Death From Above,summon,,N,,N,,N,,"Summons 1 Inceptor for each round that has started. The Inceptors land adjacent to the target, whom they attack immediately. Note: if not enough hexes around the target are free, fewer Inceptors will be summoned. Inceptor stats: {[summonHp]} Health {[summonDmg]} Damage {[summonArmor]} Armour"
Boss Gulgortz,Waaagh!,damage,,Y,+extraDmg,N,,N,Counts the normal melee attack with +Damage. The extra hit and the Ork Boyz are not counted.,"If Boss Gulgortz has not moved, he summons {[nrOfSummons]} Ork Boyz in free adjacent hexes. Until the end of this turn, all friendly Orks and friendly units adjacent to Boss Gulgortz gain +{[extraMovement]} Movement and their normal melee attacks deal +{[extraDmg]} Damage and score an additional hit. Boss Gulgortz then charges a targeted enemy in movement range, performing a normal melee attack against it. All friendly Ork Boyz take a turn. Ork Boyz' stats: {[summonHp]} Health {[summonDmg]} Damage {[summonArmor]} Armour"
Brother Burchard,Fragstorm Grenade Launcher,damage,1,N,,N,,N,All hits counted on the target.,"Deals up to {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Blast Damage to a target within {[range]} hexes. Any leftover hits are allocated to enemy units within {[range]} hexes, prioritising kills."
Brother Jaeger,Holy Duel,damage,,Y,+extraDmg,N,flat:dmgReduction:one,N,Counts the normal attack with +Damage while the target is taunted. Defence: only against the taunted enemy.,Brother Jaeger Taunts an adjacent enemy unit and immediately performs a normal attack against it. Brother Jaeger deals +{[extraDmg]} Damage and takes -{[dmgReduction]} Damage from the target while it’s Taunted by him. Brother Jaeger is also Taunted by the target and the taunt does not expire with rounds passed.
Calandis,Fire And Reposition,damage,,Y,,N,flat:dmgReduction:ranged,N,The ability includes a normal attack.,"May move as normal and attack. After attacking, she may make one more normal movement. In the following enemy turn, she takes -{[dmgReduction]} Damage from ranged attacks. Can only be used if Calandis has a target in range."
Castellan Creed,Supreme Commander,summon,,N,,N,,N,,"Summons up to {[nrOfSummons]}Cadian Guardsman in free adjacent hexes. All friendly Cadian Guardsmen within {[range]} hexes then immediately take a turn. If Colour Sergeant Kell is in play, summons an additional Cadian Guardsman and activation range is 3. Cadian Guardsman’s stats: {[summonHp]} Health {[summonDmg]} Damage {[summonArmor]} Armour"
Celestine,Sky Strike,damage,,Y,+extraDmg,N,,N,Counts her normal attack with +Damage.,"If Celestine has not moved, she targets an enemy unit on the battlefield that has a free adjacent hex, then moves adjacent to it and attacks it. The attack deals the same damage as her normal attack plus an additional +{[extraDmg]} Damage. Initial cooldown: {[initialCooldownTurns]} round."
Certus,Mortis Round,damage,1,N,,N,,N,,"Deals 1x {[minDmg]}-{[maxDmg]} Heavy Round Damage to a single target within range 3, which is then pushed back 1 hex. The Heavy Weapon trait applies double to this ability."
Cezare,Savage Echoes,damage,1,N,,N,,N,"+Damage per free adjacent hex and the heal not counted. Defence: the regeneration only works at low health, so not counted.","Deals {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Eviscerate to an adjacent enemy unit. This attack deals +{[extraDmg]} Damage for each free hex adjacent to Cezare. If Cezare is at or below {[healthPct]}% Health, he also regenerates {[hp]} Health after using this ability."
Commander Farsight,Exemplar of the Mont'ka,damage,,N,+extraDmg,Y,,N,Doesn't end his turn: counts a normal attack with +Damage (+more vs Big Targets not counted).,"Until the end of this turn, Commander Farsight and all other friendly Characters with a normal ranged attack gain Unstoppable and all their normal attacks deal +{[extraDmg]} Damage. When attacking a Big Target, they deal +{[extraDmg_2]} Damage instead. Using Exemplar of the Mont'ka does not end Commander Farsight's turn."
Commander Shadowsun,Exemplar of the Kauyon,damage,,Y,dmg,N,,N,Counts the normal attack + the extra Blast hits. The drone is not counted.,"Commander Shadowsun disappears, then reappears on a target hex adjacent to an allied unit and immediately performs a normal attack against the closest enemy target. This attack deals an additional {[nrOfHits]}x {[dmg]} Blast Damage. A stationary Command-Link Drone is summoned in the hex she previously occupied. Initial cooldown: {[initialCooldownTurns]} round. Command-Link Drone stats: {[summonHp]} Health {[summonDmg]} Damage {[summonArmor]} Armour"
Commissar Yarrick,Send In The Next Wave,summon,,N,,N,,N,,"Select a target within 2 hexes. Summon {[nrOfSummons]} Cadian Guardsmen plus one for each defeated friendly unit, who immediately appear and fire upon a target from random free hexes within range 2 of the target. The maximum number of Cadian Guardsmen this can summon is {[maxSummons]}. Cadian Guardsman’s stats: {[summonHp]} Health {[summonDmg]} Damage {[summonArmor]} Armour"
Corrodius,Poxwalkers,summon,,N,,N,,N,,"Summons Poxwalkers in {[chance]}-{[chance_2]}% of free hexes (rounded up) within Corrodius' Contagion aura. Newly summoned Poxwalkers immediately attack in melee, but cannot move this turn. Poxwalker’s stats: {[summonHp]} Health {[summonDmg]} Damage"
Cyrus,Strike from the Shadows,damage,1,N,,N,,N,Armour ignored by later ranged attacks not counted.,"Deals {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Bolter to an enemy within range {[range]}. Until the end of Cyrus' next turn, all ranged attacks against the target ignore {[armorIgnored]} Armour. After using this ability, Cyrus may move, even if he already moved this turn."
Dante,Light of Sanguinius,damage,1,N,,N,epct:dmgReductionPct:melee,N,Damage reduction on enemies not counted. Defence: the target and enemies around it (counted as melee attackers).,"If Dante has not moved, he gains Infiltrate until the end of this turn, then charges an enemy target that has a free adjacent hex within movement range {[range]} and deals {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Melta Damage to it. The target and enemy units surrounding it deal -{[dmgReductionPct]}% Damage for {[nrOfRounds]} round. This effect is doubled if they attack friendly units that are at or below {[healthPct]}% Health."
Darkstrider,Fighting Retreat,support,,N,,Y,flat:dmgReduction:melee,N,Defence: adjacent enemies only (counted as melee attackers). Their -hits is not counted.,"Adjacent enemies gain a Markerlight. They also have {[hitsReduction]} fewer hits, to a minimum of one, and deal -{[dmgReduction]} Damage for one round. Until the end of this turn, Darkstrider and adjacent allied units with the Ranged Specialist trait gain the effect of the trait even if they started their turn adjacent to an enemy unit. Using Fighting Retreat does not end Darkstrider's turn if he is adjacent to an enemy, and he can move again if already moved in this turn."
Deathleaper,Fear of the Unseen,support,,N,,N,suppress:all,N,Vanishes this turn; the bonus damage comes on next turn's attacks. Not counted. Defence: suppresses all enemies within range 3. Vanishing for a round is not counted.,"Can only be used if the Deathleaper has not moved this turn. All enemies within {[range]} hexes get Suppressed and trigger Battle Fatigue, if they have it. The Deathleaper vanishes and cannot be targeted or damaged for 1 round. In its next turn it can move to any free hex on the battlefield that is either within Synapse range, has Tall Grass or is not adjacent to an enemy and its attacks deal an additional {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Direct Damage. Initial cooldown: {[initialCooldownTurns]} round."
Eldryon,Executioner,damage,1,N,,N,,N,Damage grows each round; counted at round 1.,"An enemy target within range {[range]} takes {[minDmg]}-{[maxDmg]} Psychic Damage for each round that has started. If the target is eliminated, then an adjacent enemy unit also takes {[minDmg]}-{[maxDmg]} Psychic Damage for each round that has started."
Exitor-Rho,Chordclaw,damage,1,N,,N,,N,Counts the Direct hit. The bonus on its later attacks is not counted.,Deals {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Direct Damage to an adjacent enemy. All of Exitor-Rho’s further attacks until the end of its next turn deal an additional {[nrOfHits_2]}x {[minDmg_2]}-{[maxDmg_2]} Direct Damage.
Forcas,Calibanite Greatsword,support,,N,,Y,,N,"Stance switch. Sweep damage only hits other adjacent enemies, so not counted.","Forcas can switch between two stances. Strike Stance: At the end of his turn, Forcas starts Overwatching, even if he attacked in his turn. When defeating a unit while Overwatching, he remains in Overwatch, retaining {[nrOfHits]} fewer hits compared to the previous attack. Sweep Stance: Forcas' normal attacks also deal {[nrOfHits_2]}x {[minDmg]}-{[maxDmg]} Power Damage to each enemy adjacent to both Forcas and the initial target. This ability can be used once per turn; each use switches the active Stance and does not end Forcas' turn. Only the first use of this ability in each battle counts as using an active ability."
Gibbascrapz,Grot Tank,summon,,N,,N,,N,,"Calls in a Grot Tank in an adjacent free hex. The Grot Tank cannot move in its first turn, but can immediately attack an enemy in range. Grot Tank’s stats: {[summonHp]} Health +{[extraHp]} for each round that has started {[summonDmg]} Damage {[summonArmor]} Armour"
Haarken Worldclaimer,Herald of the Apocalypse,damage,1,N,,N,,N,Other targets not counted.,Deals {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Piercing Damage to an adjacent enemy and an additional enemy directly behind the target. Affected enemies receive +{[extraDmg]} Damage from the next attack made by a unit against them. Also triggers Battle Fatigue for all enemy units within {[range]} hexes of the original target.
Hascule,Daemonic Patrons,heal,,N,,N,pct:dmgReductionPct,N,Defence: -% per adjacent taunted enemy; counted for the one he taunts. The health loss if he fails to kill is not counted.,"Taunts an adjacent enemy, and Hascule gets watched until the end of his next turn. While being watched, Hascule deals +{[extraDmg]} Damage and takes -{[dmgReductionPct]}% Damage for each adjacent Taunted enemy. If he defeats an adjacent Taunted enemy while being watched, he can use this ability again. If he does not, he loses {[hpPct]}% of his current Health."
Havyr,Augmented Assault,damage,1,N,,Y,,N,Doesn't end his turn. The armour reduction on the target is not counted.,Deals {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Eviscerate to an adjacent enemy unit and reduces its Armour by {[armorReduction]} Armour for the rest of the battle. Using Augmented Assault does not end Hâvyr's turn.
High Marshal Helbrecht,Crusade Of Wrath,damage,,Y,,N,,N,,All other friendly units within {[range]} hexes gain +{[extraDmg]} Damage and +{[extraPierceRatio]}% pierce ratio in melee – regardless of Damage type – for this round and the next. High Marshal Helbrecht immediately performs a normal melee attack against a random adjacent enemy.
Hollan,Aberrant Hypermorph,summon,,N,,N,,N,,"Summons an Aberrant Hypermorph in a free adjacent hex. The Aberrant Hypermorph can immediately attack, but cannot move this turn. Aberrant Hypermorph's stats: {[summonHp]} Health {[summonDmg]} Damage {[summonArmor]} Armour"
Imospekh,Multi-Threat Eliminator,damage,1,N,,N,,N,6 hits written in the text. Leftover hits on other enemies not counted.,Deals 6x {[minDmg]}-{[maxDmg]} Molecular Damage to an enemy within range {[range]}. Any leftover hits are allocated to another enemy adjacent to the target and in range {[range]}. Each enemy killed adds +{[extraHit]} hit and the ability keeps targeting new enemies until there are no more enemies or hits left.
Incisus,Combat Restoratives,heal,,N,,N,heal:hpToHeal_2,N,"Defence: the Imperial amount, as he is Imperial.",Heals himself and all adjacent friendly units for {[hpToHeal]} Health. {[hpToHeal_2]} Health if Imperial.
Isaak,Cult Demagogue,summon,,N,,N,,N,,Targets an enemy unit within {[range]} hexes and places decoys on up to {[nrOfSummons]} random free hexes within {[range_2]} hexes around the target. Then summons Neophyte Hybrids on half of all the friendly decoys in that area and all Neophyte Hybrids in that area immediately take a turn. Neophyte Hybrid stats: {[summonHp_2]} Health {[summonDmg_2]} Damage {[summonArmor_2]} Armour
Isabella,Rites of Restoration,summon,,N,,N,heal:hpToHeal,N,,Heals herself and all adjacent friendly units for {[hpToHeal]} Health. Resurrects {[nrOfHeroes]} random friendly Imperial Character and up to {[nrOfSummons]} random friendly Imperial Summons that have been defeated in this battle. Resurrected units appear in free adjacent hexes with {[hp]} Health and are unable to act on this turn. Only affects non-Mechanical units.
Jain Zar,Silent Death,damage,1,N,,N,,N,Other targets not counted.,"Jain Zar throws the Silent Death at an adjacent enemy, dealing {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Piercing Damage to it and up to {[nrOfTargets]} additional enemies adjacent to each other, before returning to Jain Zar’s hands."
Judh,Heroic Fusillade,damage,1,N,,N,,N,Other targets not counted. Crit bonus not counted.,"Targets an enemy unit that has a free surrounding hex within movement range {[range]} of Judh or is already on a hex surrounding Judh. She then moves to the free hex and deals {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Projectile Damage to the target and all other enemies surrounding it. Crits deal an additional +{[extraCritDmg]} Crit Damage for each free hex surrounding the targeted enemy. When Judh is resurrected and Heroic Fusillade has already been used, then it can be used again in this battle."
Kariyan,Martial Inspiration,damage,1,N,,N,,N,+% per turn she attacked not counted.,Deals {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Eviscerating Damage to an adjacent enemy. This attack and attacks from Legacy of Combat this turn deal +{[extraDmgPct]}% Damage for each turn in which Kariyan performed an attack this battle. This ability can be used multiple times per battle but has a cooldown of {[cooldownTurns]} rounds.
Kharn,Kill! Maim! Burn!,damage,1;2;3,N,,N,,N,All three attacks hit the same target.,"Deals {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Piercing Damage to an adjacent enemy. Then performs a second attack targeting an adjacent enemy, dealing {[nrOfHits_2]}x {[minDmg_2]}-{[maxDmg_2]} Eviscerating Damage. Then performs a third attack targeting an enemy within range {[range]}, dealing {[nrOfHits_3]}x {[minDmg_3]}-{[maxDmg_3]} Plasma Damage. All attacks prioritise the same target until it is killed and then prioritise kills."
Kimm,Mass Driver Accelerator,damage,1,N,,N,,N,Other targets not counted.,"Can only be used if Kîmm has not moved. She and all friendly adjacent units have +{[extraMovement]} Movement until the end of this turn. Kîmm then charges a targeted enemy unit within movement range, dealing {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Direct Damage to the target and {[nrOfHits_2]}x {[minDmg_2]}-{[maxDmg_2]} Physical Damage to all enemies adjacent to the target."
Kut Skoden,Frag Bomb,damage,1,N,,N,,N,,"Deals {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Blast Damage to an adjacent target and {[nrOfHits_2]}x {[minDmg]}-{[maxDmg]} Blast Damage to ALL units adjacent to the target hex, except Kut Skoden himself."
Laviscus,Euphoric Strikes,damage,1,N,,Y,,N,,Deals {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Power Damage to an adjacent enemy. The next attack against that enemy this turn has +{[extraCritChance]}% Crit Chance. Using Euphoric Strikes does not end Laviscus' turn.
Lhykhis,Empyric Ambush,damage,1,N,,N,,N,,"Lhykhis moves adjacent to an enemy unit on the battlefield that has a free adjacent hex and deals {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Eviscerate to it. Until the end of this turn, attacks against the target of Empyric Ambush made by other friendly characters that are Aeldari or traversed {[movement]} or more hexes this turn have +{[extraCritChance]}% Crit Chance and deal {[extraCritDmg]} Crit Damage. When Lhykhis defeats an enemy with a normal melee attack, and Empyric Ambush has already been used, then Empyric Ambush can be used again in this battle. Initial cooldown: {[initialCooldownTurns]} round."
Lucien,Black Rage,damage,,Y,+extraDmg,N,setpct:hpPct,N,Counts the charging normal melee attack with +Damage.,"If Lucien has not moved, he is set to {[hpPct]}% Health. He then immediately charges a targeted enemy in movement range and performs a normal melee attack against it. For this attack and until the end of the battle, Lucien has +{[extraMovement]} Movement and deals +{[extraDmg]} Damage when charging. Additionally, Lucien can no longer be controlled for the rest of the battle, and moves and attacks automatically at the beginning of his turn instead."
Lucius,Lash of Torment,damage,1,N,,N,,N,Pull and taunt not counted.,"Deals{[nrOfHits]}x {[minDmg]}-{[maxDmg]} Eviscerating Damage to an enemy unit within range {[range]}. If the target is not already adjacent to Lucius, it is then pulled 1 hex towards him if possible, and can be pulled over any elevation but not through impassable terrain. If the target is adjacent to Lucius after the attack, it is also Taunted by him for {[nrOfRounds]} rounds."
Lysander,Titanhammer Squad,heal,,N,,Y,heal:hpToHeal,N,"Defence: the heal only. The extra block needs block gear, which the model leaves out.","Marks a free hex on the battlefield that is not adjacent to an enemy unit. Lysander and all friendly Terminator Armour units within {[range]} hexes of Lysander are healed for {[hpToHeal]} Health and block an additional +{[blockDmg]} Damage until the beginning of their next turn. If they have not moved in this turn, they can also move on or adjacent to the hex marked by this ability. Using Titanhammer Squad does not end Lysander's turn. Initial cooldown: {[initialCooldownTurns]} round."
Macer,Jakhal Stimms,damage,1,N,,Y,lose:hpPct,N,,Deals {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Physical Damage to an adjacent enemy and all other enemies adjacent to both Macer and the target. Then Macer loses {[hpPct]}% of his current Health. Using Jakhal Stimms does not end Macer's turn.
Makhotep,Adaptive Strategy,support,,N,,N,,N,"The damage is dealt by adjacent non-character units, not Makhotep.","Triggers Relentless March again for all adjacent Non-Character friendly units and makes them immediately take an action, dealing {[minDmg]}-{[maxDmg]} Damage per hit if they attack."
Maladus,Flail Swing,damage,1,N,,N,,N,Haze of Corruption follow-ups not counted.,Performs a melee attack dealing {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Power Damage to the target and triggering Haze of Corruption if the target is defeated. Any unit defeated by this attack or its add-on attacks from Haze of Corruption is always overkilled.
Marneus Calgar,Gauntlets of Ultramar,damage,1,N,,N,,N,Hits come from nrOfHits_2 in the text. Extra hit vs surrounding enemies not counted.,Deals {[nrOfHits_2]}x {[minDmg]}-{[maxDmg]} Bolter Damage to all enemies within 2 hexes. Scores an additional hit against surrounding enemies.
Marshal Dreir,Leading the Charge,damage,1,N,,N,,N,Death Riders (summons) and +pierce per defeated ally not counted.,"If Dreir has not moved, he gains Infiltrate until the end of this turn and charges an enemy target that has a free adjacent hex within movement range {[range]}, dealing {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Power Damage to it. Then, summons up to {[nrOfSummons]} Death Riders in free adjacent hexes that can immediately attack enemies in range. All attacks triggered by this ability have +{[extraPierceRatio]}% pierce ratio for each friendly unit that has been defeated this battle. Death Rider stats: {[summonHp]} Health {[summonDmg]} Damage {[summonArmor]} Armour"
Mataneo,Hammer of Wrath,damage,1,N,,N,,N,Other targets not counted. Double damage at low health not counted.,"If Mataneo has not moved, he gains Infiltrate until the end of this turn, charges an enemy target that has a free adjacent hex within movement range {[range]}, dealing {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Power Damage to the target and {[nrOfHits_2]}x {[minDmg_2]}-{[maxDmg_2]} Physical Damage to all enemies adjacent to it. If Mataneo is at or below {[healthPct]}% Health, doubles the damage dealt by this ability. This ability's Damage ignores all of the attacker bonuses and modifiers (including elevation), and cannot Crit."
Maugan Ra,Harvester Of Souls,damage,1,N,,N,,N,Other targets not counted. Extra hit if he hasn't moved not counted.,Deals {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Heavy Round Damage to a target within range {[range]} and to all enemies adjacent to the target that are also within range {[range]} of Maugan Ra. These attacks score an additional hit if Maugan Ra has not moved this turn.
Mephiston,The Quickening,damage,,PCT,,N,,N,Counts his own normal melee attack at the reduced %.,"Targets a hex within movement range {[range]} that is neither occupied by an enemy nor by a friendly unit in Deep Strike. Mephiston moves onto that hex. If a friendly unit is on that hex, that unit moves to Mephiston's previous location. All Blood Angels moving this way perform a normal melee attack after they move, dealing {[dmgPct]}% of their own damage to a maximum of {[maxDmg]} Damage. Units moving this way do not trigger Overwatch or other movement related reactions."
Morvenn Vahl,Sanctorum Missile,damage,1,N,,N,,N,,"Deals {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Blast Damage to a target within range {[range]} and {[nrOfHits_2]}x {[minDmg]}-{[maxDmg]} Blast Damage to all hexes adjacent to the target – with the exception of Morvenn Vahl's own hex, were she adjacent to the target."
Nauseous Rotbone,Revitalising Malignancy,heal,,N,,N,heal:hpToHeal+hpToHeal_2,N,"Defence: includes the extra Chaos healing, as he is Chaos.","Heals himself and all adjacent friendly units for {[hpToHeal]} Health, and an additional +{[hpToHeal_2]} Health to Chaos units. Imperial units do not receive any healing."
Neurothrope,Spirit Leech,damage,1,N,,N,suppress:one,N,+Damage vs Suppressed targets and the heal not counted. Defence: the heal (% of damage dealt) is not counted.,"Deals {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Psychic Damage to an enemy unit within {[range]} hexes. If the target is Suppressed, deals an additional +{[extraDmg]} Damage, otherwise Suppresses it. The Neurothrope heals itself and friendly Tyranids adjacent to it for Health equal to {[hpToHealPct]}% of the total damage dealt with this ability. This ability's Damage ignores all of the attacker bonuses and modifiers (including elevation), and cannot Crit."
